"V1","V2","V3","V4"
NA,"Alpha","Beta","Lut"
"Avg.TRep1","367.316164187551","604.800506054082","91.7982577160612"
"Avg.TRep2","278.382184118489","449.124224552222","65.8233090339778"
"%Diff","0.757881659616666","0.74259895627809","0.717043119027097"
